query	raw_translation	translation
brassica rapa var. perviridis	"['(""brassica rapa""[MeSH Terms] OR (""brassica""[All Fields] AND ""rapa""[All Fields]) OR ""brassica rapa""[All Fields]) AND ""var""[All Fields] AND ""perviridis""[All Fields]', '(""brassica rapa""[MeSH Terms] OR (""brassica""[All Fields] AND ""rapa""[All Fields]) OR ""brassica rapa""[All Fields]) AND var.[All Fields] AND perviridis[All Fields]']"	['brassica rapa var perviridis', 'brassica rapa var. perviridis']
brassica rapa var. rapa	"['(""brassica rapa""[MeSH Terms] OR (""brassica""[All Fields] AND ""rapa""[All Fields]) OR ""brassica rapa""[All Fields]) AND ""var""[All Fields] AND ""rapa""[All Fields]', '(""brassica rapa""[MeSH Terms] OR (""brassica""[All Fields] AND ""rapa""[All Fields]) OR ""brassica rapa""[All Fields]) AND var.[All Fields] AND rapa[All Fields]']"	['brassica rapa var rapa', 'brassica rapa var. rapa']
brassica ruvo	"['(""brassica""[MeSH Terms] OR ""brassica""[All Fields] OR ""brassicae""[All Fields] OR ""brassicas""[All Fields]) AND ""ruvo""[All Fields]', '(""brassica""[MeSH Terms] OR ""brassica""[All Fields]) AND ruvo[All Fields]']"	['brassica ruvo', 'brassicae ruvo', 'brassicas ruvo']
brazil nut	"['""bertholletia""[MeSH Terms] OR ""bertholletia""[All Fields] OR (""brazil""[All Fields] AND ""nut""[All Fields]) OR ""brazil nut""[All Fields]', '""bertholletia""[MeSH Terms] OR ""bertholletia""[All Fields] OR (""brazil""[All Fields] AND ""nut""[All Fields]) OR ""brazil nut""[All Fields]']"	['bertholletia', 'brazil nut']
brazilnut	"['""bertholletia""[MeSH Terms] OR ""bertholletia""[All Fields] OR ""brazilnut""[All Fields]', '""bertholletia""[MeSH Terms] OR ""bertholletia""[All Fields] OR ""brazilnut""[All Fields]']"	['bertholletia', 'brazilnut']
breadfruit	"['""artocarpus""[MeSH Terms] OR ""artocarpus""[All Fields] OR ""breadfruit""[All Fields]', '""artocarpus""[MeSH Terms] OR ""artocarpus""[All Fields] OR ""breadfruit""[All Fields]']"	['artocarpus', 'breadfruit']
breadnut tree seed	"['""breadnut""[All Fields] AND (""trees""[MeSH Terms] OR ""trees""[All Fields] OR ""tree""[All Fields]) AND (""seeds""[MeSH Terms] OR ""seeds""[All Fields] OR ""seed""[All Fields])', 'breadnut[All Fields] AND (""trees""[MeSH Terms] OR ""trees""[All Fields] OR ""tree""[All Fields]) AND (""seeds""[MeSH Terms] OR ""seeds""[All Fields] OR ""seed""[All Fields])']"	['breadnut tree seed', 'breadnut tree seeds', 'breadnut trees seed', 'breadnut trees seeds']
brevoortia tyrannus	"['""brevoortia""[All Fields] AND ""tyrannus""[All Fields]', 'brevoortia[All Fields] AND tyrannus[All Fields]']"	['brevoortia tyrannus']
broad bean	"['""vicia faba""[MeSH Terms] OR (""vicia""[All Fields] AND ""faba""[All Fields]) OR ""vicia faba""[All Fields] OR (""broad""[All Fields] AND ""bean""[All Fields]) OR ""broad bean""[All Fields]', '""vicia faba""[MeSH Terms] OR (""vicia""[All Fields] AND ""faba""[All Fields]) OR ""vicia faba""[All Fields] OR (""broad""[All Fields] AND ""bean""[All Fields]) OR ""broad bean""[All Fields]']"	['broad bean', 'vicia faba']
broad whitefish	"['(""broad""[All Fields] OR ""broadness""[All Fields]) AND (""salmonidae""[MeSH Terms] OR ""salmonidae""[All Fields] OR ""whitefish""[All Fields] OR ""whitefishes""[All Fields])', 'broad[All Fields] AND (""salmonidae""[MeSH Terms] OR ""salmonidae""[All Fields] OR ""whitefish""[All Fields])']"	['broad salmonidae', 'broad whitefish', 'broad whitefishes', 'broadness salmonidae', 'broadness whitefish', 'broadness whitefishes']
broccoli	"['""brassica""[MeSH Terms] OR ""brassica""[All Fields] OR ""broccoli""[All Fields] OR ""broccolis""[All Fields]', '""brassica""[MeSH Terms] OR ""brassica""[All Fields] OR ""broccoli""[All Fields]']"	['brassica', 'broccoli', 'broccolis']
brosimum alicastrum	"['(""moraceae""[MeSH Terms] OR ""moraceae""[All Fields] OR ""brosimum""[All Fields]) AND ""alicastrum""[All Fields]', '(""moraceae""[MeSH Terms] OR ""moraceae""[All Fields] OR ""brosimum""[All Fields]) AND alicastrum[All Fields]']"	['brosimum alicastrum', 'moraceae alicastrum']
brosme brosme	"['""brosme""[All Fields] AND ""brosme""[All Fields]', 'brosme[All Fields] AND brosme[All Fields]']"	['brosme brosme']
brussel sprouts	"['""brassica""[MeSH Terms] OR ""brassica""[All Fields] OR (""brussel""[All Fields] AND ""sprouts""[All Fields]) OR ""brussel sprouts""[All Fields]', '""brassica""[MeSH Terms] OR ""brassica""[All Fields] OR (""brussel""[All Fields] AND ""sprouts""[All Fields]) OR ""brussel sprouts""[All Fields]']"	['brassica', 'brussel sprouts']
bubalus bubalis	"['""buffaloes""[MeSH Terms] OR ""buffaloes""[All Fields] OR (""bubalus""[All Fields] AND ""bubalis""[All Fields]) OR ""bubalus bubalis""[All Fields]', '""buffaloes""[MeSH Terms] OR ""buffaloes""[All Fields] OR (""bubalus""[All Fields] AND ""bubalis""[All Fields]) OR ""bubalus bubalis""[All Fields]']"	['bubalus bubalis', 'buffaloes']
buccinidae	"['""buccinidae""[All Fields]', 'buccinidae[All Fields]']"	['buccinidae']
buckwheat	"['""fagopyrum""[MeSH Terms] OR ""fagopyrum""[All Fields] OR ""buckwheat""[All Fields] OR ""buckwheats""[All Fields]', '""fagopyrum""[MeSH Terms] OR ""fagopyrum""[All Fields] OR ""buckwheat""[All Fields]']"	['buckwheat', 'buckwheats', 'fagopyrum']
buffalo	"['""buffalo s""[All Fields] OR ""buffaloes""[MeSH Terms] OR ""buffaloes""[All Fields] OR ""buffalo""[All Fields] OR ""buffalos""[All Fields]', '""buffaloes""[MeSH Terms] OR ""buffaloes""[All Fields] OR ""buffalo""[All Fields]']"	['buffalo', 'buffalo s', 'buffaloes', 'buffalos']
buffalo currant	"['(""buffalo s""[All Fields] OR ""buffaloes""[MeSH Terms] OR ""buffaloes""[All Fields] OR ""buffalo""[All Fields] OR ""buffalos""[All Fields]) AND (""ribes""[MeSH Terms] OR ""ribes""[All Fields] OR ""currant""[All Fields] OR ""currants""[All Fields])', '(""buffaloes""[MeSH Terms] OR ""buffaloes""[All Fields] OR ""buffalo""[All Fields]) AND (""ribes""[MeSH Terms] OR ""ribes""[All Fields] OR ""currant""[All Fields])']"	['buffalo currant', 'buffalo currants', 'buffalo ribes', 'buffalo s currant', 'buffalo s currants', 'buffalo s ribes', 'buffaloes currant', 'buffaloes currants', 'buffaloes ribes', 'buffalos currant', 'buffalos currants', 'buffalos ribes']
burbot	"['""burbot""[All Fields] OR ""burbots""[All Fields]', 'burbot[All Fields]']"	['burbot', 'burbots']
burdock	"['""arctium""[MeSH Terms] OR ""arctium""[All Fields] OR ""burdock""[All Fields]', '""arctium""[MeSH Terms] OR ""arctium""[All Fields] OR ""burdock""[All Fields]']"	['arctium', 'burdock']
butternut	"['""butternut""[All Fields] OR ""butternuts""[All Fields]', 'butternut[All Fields]']"	['butternut', 'butternuts']
butternut squash	"['(""butternut""[All Fields] OR ""butternuts""[All Fields]) AND (""cucurbita""[MeSH Terms] OR ""cucurbita""[All Fields] OR ""squashes""[All Fields] OR ""racquet sports""[MeSH Terms] OR (""racquet""[All Fields] AND ""sports""[All Fields]) OR ""racquet sports""[All Fields] OR ""squash""[All Fields] OR ""squashed""[All Fields] OR ""squashing""[All Fields])', 'butternut[All Fields] AND (""racquet sports""[MeSH Terms] OR (""racquet""[All Fields] AND ""sports""[All Fields]) OR ""racquet sports""[All Fields] OR ""squash""[All Fields] OR ""cucurbita""[MeSH Terms] OR ""cucurbita""[All Fields])']"	['butternut cucurbita', 'butternut racquet sports', 'butternut squash', 'butternut squashed', 'butternut squashes', 'butternut squashing', 'butternuts cucurbita', 'butternuts racquet sports', 'butternuts squash', 'butternuts squashed', 'butternuts squashes', 'butternuts squashing']
byrsonima crassifolia	"['""byrsonima""[All Fields] AND ""crassifolia""[All Fields]', 'byrsonima[All Fields] AND crassifolia[All Fields]']"	['byrsonima crassifolia']
cabbage	"['""brassica""[MeSH Terms] OR ""brassica""[All Fields] OR ""cabbage""[All Fields] OR ""cabbages""[All Fields]', '""brassica""[MeSH Terms] OR ""brassica""[All Fields] OR ""cabbage""[All Fields]']"	['brassica', 'cabbage', 'cabbages']
cajanus cajan	"['""cajanus""[MeSH Terms] OR ""cajanus""[All Fields] OR (""cajanus""[All Fields] AND ""cajan""[All Fields]) OR ""cajanus cajan""[All Fields]', '""cajanus""[MeSH Terms] OR ""cajanus""[All Fields] OR (""cajanus""[All Fields] AND ""cajan""[All Fields]) OR ""cajanus cajan""[All Fields]']"	['cajanus', 'cajanus cajan']
calabash	"['""calabash""[All Fields]', 'calabash[All Fields]']"	['calabash']
callinectes sapidus	"['""brachyura""[MeSH Terms] OR ""brachyura""[All Fields] OR (""callinectes""[All Fields] AND ""sapidus""[All Fields]) OR ""callinectes sapidus""[All Fields]', '""brachyura""[MeSH Terms] OR ""brachyura""[All Fields] OR (""callinectes""[All Fields] AND ""sapidus""[All Fields]) OR ""callinectes sapidus""[All Fields]']"	['brachyura', 'callinectes sapidus']
camellia oleifera	"['(""camellia""[MeSH Terms] OR ""camellia""[All Fields] OR ""camellias""[All Fields] OR ""camelliae""[All Fields]) AND ""oleifera""[All Fields]', '(""camellia""[MeSH Terms] OR ""camellia""[All Fields]) AND oleifera[All Fields]']"	['camellia oleifera', 'camelliae oleifera', 'camellias oleifera']
canada blueberry	"['(""canada""[MeSH Terms] OR ""canada""[All Fields] OR ""canada s""[All Fields] OR ""canadas""[All Fields]) AND (""blueberry plants""[MeSH Terms] OR (""blueberry""[All Fields] AND ""plants""[All Fields]) OR ""blueberry plants""[All Fields] OR ""blueberries""[All Fields] OR ""blueberry""[All Fields])', '(""canada""[MeSH Terms] OR ""canada""[All Fields]) AND (""blueberry plants""[MeSH Terms] OR (""blueberry""[All Fields] AND ""plants""[All Fields]) OR ""blueberry plants""[All Fields] OR ""blueberry""[All Fields])']"	['canada blueberries', 'canada blueberry', 'canada blueberry plants', 'canada s blueberries', 'canada s blueberry', 'canada s blueberry plants', 'canadas blueberries', 'canadas blueberry', 'canadas blueberry plants']
canarium ovatum	"['""canarium""[All Fields] AND ""ovatum""[All Fields]', 'canarium[All Fields] AND ovatum[All Fields]']"	['canarium ovatum']
cancer magister	"['(""cancer s""[All Fields] OR ""cancerated""[All Fields] OR ""canceration""[All Fields] OR ""cancerization""[All Fields] OR ""cancerized""[All Fields] OR ""cancerous""[All Fields] OR ""neoplasms""[MeSH Terms] OR ""neoplasms""[All Fields] OR ""cancer""[All Fields] OR ""cancers""[All Fields]) AND ""magister""[All Fields]', '(""neoplasms""[MeSH Terms] OR ""neoplasms""[All Fields] OR ""cancer""[All Fields]) AND magister[All Fields]']"	['cancer magister', 'cancer s magister', 'cancerated magister', 'canceration magister', 'cancerization magister', 'cancerized magister', 'cancerous magister', 'cancers magister', 'neoplasms magister']
canola	"['""brassica napus""[MeSH Terms] OR (""brassica""[All Fields] AND ""napus""[All Fields]) OR ""brassica napus""[All Fields] OR ""canola""[All Fields]', '""brassica napus""[MeSH Terms] OR (""brassica""[All Fields] AND ""napus""[All Fields]) OR ""brassica napus""[All Fields] OR ""canola""[All Fields]']"	['brassica napus', 'canola']
cantaloupe	"['""cucumis melo""[MeSH Terms] OR (""cucumis""[All Fields] AND ""melo""[All Fields]) OR ""cucumis melo""[All Fields] OR ""cantaloupe""[All Fields] OR ""cantaloupes""[All Fields]', '""cucumis melo""[MeSH Terms] OR (""cucumis""[All Fields] AND ""melo""[All Fields]) OR ""cucumis melo""[All Fields] OR ""cantaloupe""[All Fields]']"	['cantaloupe', 'cantaloupes', 'cucumis melo']
cantaloupe melon	"['(""cucumis melo""[MeSH Terms] OR (""cucumis""[All Fields] AND ""melo""[All Fields]) OR ""cucumis melo""[All Fields] OR ""cantaloupe""[All Fields] OR ""cantaloupes""[All Fields]) AND (""cucurbitaceae""[MeSH Terms] OR ""cucurbitaceae""[All Fields] OR ""melon""[All Fields] OR ""melons""[All Fields])', '(""cucumis melo""[MeSH Terms] OR (""cucumis""[All Fields] AND ""melo""[All Fields]) OR ""cucumis melo""[All Fields] OR ""cantaloupe""[All Fields]) AND (""cucurbitaceae""[MeSH Terms] OR ""cucurbitaceae""[All Fields] OR ""melon""[All Fields])']"	['cantaloupe cucurbitaceae', 'cantaloupe melon', 'cantaloupe melons', 'cantaloupes cucurbitaceae', 'cantaloupes melon', 'cantaloupes melons', 'cucumis melo cucurbitaceae', 'cucumis melo melon', 'cucumis melo melons']
cantharellus cibarius	"['""cantharellus cibarius""[Supplementary Concept] OR ""cantharellus cibarius""[All Fields] OR ""cantharellus cibarius""[All Fields]', '""Cantharellus cibarius""[All Fields] OR ""cantharellus cibarius""[All Fields]']"	['Cantharellus cibarius', 'cantharellus cibarius']
cape gooseberry	"['""cape""[All Fields] AND (""ribes""[MeSH Terms] OR ""ribes""[All Fields] OR ""gooseberries""[All Fields] OR ""gooseberry""[All Fields])', 'cape[All Fields] AND (""ribes""[MeSH Terms] OR ""ribes""[All Fields] OR ""gooseberry""[All Fields])']"	['cape gooseberries', 'cape gooseberry', 'cape ribes']
capers	"['""capparis""[MeSH Terms] OR ""capparis""[All Fields] OR ""caper""[All Fields] OR ""capers""[All Fields]', '""capparis""[MeSH Terms] OR ""capparis""[All Fields] OR ""capers""[All Fields]']"	['caper', 'capers', 'capparis']
capparis spinosa	"['(""capparis""[MeSH Terms] OR ""capparis""[All Fields] OR ""cappari""[All Fields]) AND (""spinosa""[All Fields] OR ""spinosae""[All Fields])', '(""capparis""[MeSH Terms] OR ""capparis""[All Fields]) AND spinosa[All Fields]']"	['cappari spinosa', 'cappari spinosae', 'capparis spinosa', 'capparis spinosae']
capra aegagrus hircus	"['(""caprae""[All Fields] OR ""goats""[MeSH Terms] OR ""goats""[All Fields] OR ""capra""[All Fields]) AND ""aegagrus""[All Fields] AND ""hircus""[All Fields]', '(""goats""[MeSH Terms] OR ""goats""[All Fields] OR ""capra""[All Fields]) AND aegagrus[All Fields] AND hircus[All Fields]']"	['capra aegagrus hircus', 'caprae aegagrus hircus', 'goats aegagrus hircus']
capsicum	"['""capsicum""[MeSH Terms] OR ""capsicum""[All Fields] OR ""capsicums""[All Fields]', '""capsicum""[MeSH Terms] OR ""capsicum""[All Fields]']"	['capsicum', 'capsicums']
capsicum annuum	"['""capsicum""[MeSH Terms] OR ""capsicum""[All Fields] OR (""capsicum""[All Fields] AND ""annuum""[All Fields]) OR ""capsicum annuum""[All Fields]', '""capsicum""[MeSH Terms] OR ""capsicum""[All Fields] OR (""capsicum""[All Fields] AND ""annuum""[All Fields]) OR ""capsicum annuum""[All Fields]']"	['capsicum', 'capsicum annuum']
capsicum annuum 'jalapeño'	['', '']	[]
capsicum annuum var. annuum	"['(""capsicum""[MeSH Terms] OR ""capsicum""[All Fields] OR (""capsicum""[All Fields] AND ""annuum""[All Fields]) OR ""capsicum annuum""[All Fields]) AND ""var""[All Fields] AND ""annuum""[All Fields]', '(""capsicum""[MeSH Terms] OR ""capsicum""[All Fields] OR (""capsicum""[All Fields] AND ""annuum""[All Fields]) OR ""capsicum annuum""[All Fields]) AND var.[All Fields] AND annuum[All Fields]']"	['capsicum annuum var annuum', 'capsicum annuum var. annuum', 'capsicum var annuum', 'capsicum var. annuum']
capsicum baccatum var. baccatum	"['(""capsicum""[MeSH Terms] OR ""capsicum""[All Fields] OR ""capsicums""[All Fields]) AND ""baccatum""[All Fields] AND ""var""[All Fields] AND ""baccatum""[All Fields]', '(""capsicum""[MeSH Terms] OR ""capsicum""[All Fields]) AND baccatum[All Fields] AND var.[All Fields] AND baccatum[All Fields]']"	['capsicum baccatum var baccatum', 'capsicum baccatum var. baccatum', 'capsicums baccatum var baccatum']
capsicum chinense	"['(""capsicum""[MeSH Terms] OR ""capsicum""[All Fields] OR ""capsicums""[All Fields]) AND ""chinense""[All Fields]', '(""capsicum""[MeSH Terms] OR ""capsicum""[All Fields]) AND chinense[All Fields]']"	['capsicum chinense', 'capsicums chinense']
capsicum pubescens	"['(""capsicum""[MeSH Terms] OR ""capsicum""[All Fields] OR ""capsicums""[All Fields]) AND ""pubescens""[All Fields]', '(""capsicum""[MeSH Terms] OR ""capsicum""[All Fields]) AND pubescens[All Fields]']"	['capsicum pubescens', 'capsicums pubescens']
caraway	"['""carum""[MeSH Terms] OR ""carum""[All Fields] OR ""caraway""[All Fields]', '""carum""[MeSH Terms] OR ""carum""[All Fields] OR ""caraway""[All Fields]']"	['caraway', 'carum']
cardamom	"['""elettaria""[MeSH Terms] OR ""elettaria""[All Fields] OR ""cardamom""[All Fields]', '""elettaria""[MeSH Terms] OR ""elettaria""[All Fields] OR ""cardamom""[All Fields]']"	['cardamom', 'elettaria']
cardoon	"['""cynara""[MeSH Terms] OR ""cynara""[All Fields] OR ""cardoon""[All Fields] OR ""cardoons""[All Fields]', '""cynara""[MeSH Terms] OR ""cynara""[All Fields] OR ""cardoon""[All Fields]']"	['cardoon', 'cardoons', 'cynara']
carica papaya	"['""carica""[MeSH Terms] OR ""carica""[All Fields] OR (""carica""[All Fields] AND ""papaya""[All Fields]) OR ""carica papaya""[All Fields]', '""carica""[MeSH Terms] OR ""carica""[All Fields] OR (""carica""[All Fields] AND ""papaya""[All Fields]) OR ""carica papaya""[All Fields]']"	['carica', 'carica papaya']
caridea	"['""caridea""[All Fields]', 'caridea[All Fields]']"	['caridea']
carissa macrocarpa	"['(""apocynaceae""[MeSH Terms] OR ""apocynaceae""[All Fields] OR ""carissa""[All Fields]) AND ""macrocarpa""[All Fields]', '(""apocynaceae""[MeSH Terms] OR ""apocynaceae""[All Fields] OR ""carissa""[All Fields]) AND macrocarpa[All Fields]']"	['apocynaceae macrocarpa', 'carissa macrocarpa']
carob	"['""carobs""[All Fields] OR ""locust bean gum""[Supplementary Concept] OR ""locust bean gum""[All Fields] OR ""carob""[All Fields]', '""locust bean gum""[Supplementary Concept] OR ""locust bean gum""[All Fields] OR ""carob""[All Fields]']"	['carob', 'carobs', 'locust bean gum']
carp	"['""carps""[MeSH Terms] OR ""carps""[All Fields] OR ""carp""[All Fields]', '""carps""[MeSH Terms] OR ""carps""[All Fields] OR ""carp""[All Fields]']"	['carp', 'carps']
carp bream	"['(""carps""[MeSH Terms] OR ""carps""[All Fields] OR ""carp""[All Fields]) AND (""bream""[All Fields] OR ""bream s""[All Fields] OR ""breams""[All Fields])', '(""carps""[MeSH Terms] OR ""carps""[All Fields] OR ""carp""[All Fields]) AND bream[All Fields]']"	['carp bream', 'carp bream s', 'carp breams', 'carps bream', 'carps bream s', 'carps breams']
carrot	"['""daucus carota""[MeSH Terms] OR (""daucus""[All Fields] AND ""carota""[All Fields]) OR ""daucus carota""[All Fields] OR ""carrot""[All Fields] OR ""carrots""[All Fields]', '""daucus carota""[MeSH Terms] OR (""daucus""[All Fields] AND ""carota""[All Fields]) OR ""daucus carota""[All Fields] OR ""carrot""[All Fields]']"	['carrot', 'carrots', 'daucus carota']
carthamus tinctorius	"['""carthamus tinctorius""[MeSH Terms] OR (""carthamus""[All Fields] AND ""tinctorius""[All Fields]) OR ""carthamus tinctorius""[All Fields]', '""carthamus tinctorius""[MeSH Terms] OR (""carthamus""[All Fields] AND ""tinctorius""[All Fields]) OR ""carthamus tinctorius""[All Fields]']"	['carthamus tinctorius']
carum carvi	"['""carum""[MeSH Terms] OR ""carum""[All Fields] OR (""carum""[All Fields] AND ""carvi""[All Fields]) OR ""carum carvi""[All Fields]', '""carum""[MeSH Terms] OR ""carum""[All Fields] OR (""carum""[All Fields] AND ""carvi""[All Fields]) OR ""carum carvi""[All Fields]']"	['carum', 'carum carvi']
carya	"['""carya""[MeSH Terms] OR ""carya""[All Fields] OR ""caryae""[All Fields]', '""carya""[MeSH Terms] OR ""carya""[All Fields]']"	['carya', 'caryae']
carya illinoinensis	"['""carya""[MeSH Terms] OR ""carya""[All Fields] OR (""carya""[All Fields] AND ""illinoinensis""[All Fields]) OR ""carya illinoinensis""[All Fields]', '""carya""[MeSH Terms] OR ""carya""[All Fields] OR (""carya""[All Fields] AND ""illinoinensis""[All Fields]) OR ""carya illinoinensis""[All Fields]']"	['carya', 'carya illinoinensis']
cascade huckleberry	"['(""cascadability""[All Fields] OR ""cascadable""[All Fields] OR ""cascade""[All Fields] OR ""cascaded""[All Fields] OR ""cascades""[All Fields] OR ""cascading""[All Fields]) AND (""huckleberry plant""[MeSH Terms] OR (""huckleberry""[All Fields] AND ""plant""[All Fields]) OR ""huckleberry plant""[All Fields] OR ""huckleberry""[All Fields])', 'cascade[All Fields] AND ((""huckleberry""[All Fields] AND ""plant""[All Fields]) OR ""huckleberry plant""[All Fields] OR ""huckleberry""[All Fields])']"	['cascadability huckleberry', 'cascadability huckleberry plant', 'cascadable huckleberry', 'cascadable huckleberry plant', 'cascade huckleberry', 'cascade huckleberry plant', 'cascaded huckleberry', 'cascaded huckleberry plant', 'cascades huckleberry', 'cascades huckleberry plant', 'cascading huckleberry', 'cascading huckleberry plant']
cashew nut	"['""anacardium""[MeSH Terms] OR ""anacardium""[All Fields] OR (""cashew""[All Fields] AND ""nut""[All Fields]) OR ""cashew nut""[All Fields]', '""anacardium""[MeSH Terms] OR ""anacardium""[All Fields] OR (""cashew""[All Fields] AND ""nut""[All Fields]) OR ""cashew nut""[All Fields]']"	['anacardium', 'cashew nut']
cassava	"['""cassava s""[All Fields] OR ""manihot""[MeSH Terms] OR ""manihot""[All Fields] OR ""cassava""[All Fields]', '""manihot""[MeSH Terms] OR ""manihot""[All Fields] OR ""cassava""[All Fields]']"	['cassava', 'cassava s', 'manihot']
castanea	"['""castanea""[All Fields] OR ""castaneae""[All Fields]', 'castanea[All Fields]']"	['castanea', 'castaneae']
castanea crenata	"['(""castanea""[All Fields] OR ""castaneae""[All Fields]) AND ""crenata""[All Fields]', 'castanea[All Fields] AND crenata[All Fields]']"	['castanea crenata', 'castaneae crenata']
castanea mollissima	"['(""castanea""[All Fields] OR ""castaneae""[All Fields]) AND ""mollissima""[All Fields]', 'castanea[All Fields] AND mollissima[All Fields]']"	['castanea mollissima', 'castaneae mollissima']
castanea sativa	"['(""castanea""[All Fields] OR ""castaneae""[All Fields]) AND (""sativa""[All Fields] OR ""sativae""[All Fields] OR ""sativas""[All Fields])', 'castanea[All Fields] AND sativa[All Fields]']"	['castanea sativa', 'castanea sativae', 'castanea sativas', 'castaneae sativa', 'castaneae sativae', 'castaneae sativas']
castanospermum australe	"['(""castanospermum""[MeSH Terms] OR ""castanospermum""[All Fields]) AND ""australe""[All Fields]', '(""castanospermum""[MeSH Terms] OR ""castanospermum""[All Fields]) AND australe[All Fields]']"	['castanospermum australe']
catfish	"['""catfishes""[MeSH Terms] OR ""catfishes""[All Fields] OR ""catfish""[All Fields]', '""catfishes""[MeSH Terms] OR ""catfishes""[All Fields] OR ""catfish""[All Fields]']"	['catfish', 'catfishes']
catjang pea	"['""catjang""[All Fields] AND (""peas""[MeSH Terms] OR ""peas""[All Fields] OR ""pea""[All Fields])', 'catjang[All Fields] AND (""peas""[MeSH Terms] OR ""peas""[All Fields] OR ""pea""[All Fields])']"	['catjang pea', 'catjang peas']
catostomus commersonii	"['(""cypriniformes""[MeSH Terms] OR ""cypriniformes""[All Fields] OR ""catostomus""[All Fields]) AND ""commersonii""[All Fields]', '(""cypriniformes""[MeSH Terms] OR ""cypriniformes""[All Fields] OR ""catostomus""[All Fields]) AND commersonii[All Fields]']"	['catostomus commersonii', 'cypriniformes commersonii']
cattle	"['""cattle""[MeSH Terms] OR ""cattle""[All Fields] OR ""cattle s""[All Fields] OR ""cattles""[All Fields]', '""cattle""[MeSH Terms] OR ""cattle""[All Fields]']"	['cattle', 'cattle s', 'cattles']
cauliflower	"['""brassica""[MeSH Terms] OR ""brassica""[All Fields] OR ""cauliflower""[All Fields] OR ""cauliflowers""[All Fields]', '""brassica""[MeSH Terms] OR ""brassica""[All Fields] OR ""cauliflower""[All Fields]']"	['brassica', 'cauliflower', 'cauliflowers']
celeriac	"['""apium""[MeSH Terms] OR ""apium""[All Fields] OR ""celeriac""[All Fields]', '""apium""[MeSH Terms] OR ""apium""[All Fields] OR ""celeriac""[All Fields]']"	['apium', 'celeriac']
celery	"['""apium""[MeSH Terms] OR ""apium""[All Fields] OR ""celery""[All Fields]', '""apium""[MeSH Terms] OR ""apium""[All Fields] OR ""celery""[All Fields]']"	['apium', 'celery']
celery leaves	"['(""apium""[MeSH Terms] OR ""apium""[All Fields] OR ""celery""[All Fields]) AND (""leave""[All Fields] OR ""leaved""[All Fields] OR ""leaving""[All Fields] OR ""plant leaves""[MeSH Terms] OR (""plant""[All Fields] AND ""leaves""[All Fields]) OR ""plant leaves""[All Fields] OR ""leaves""[All Fields])', '(""apium""[MeSH Terms] OR ""apium""[All Fields] OR ""celery""[All Fields]) AND (""plant leaves""[MeSH Terms] OR (""plant""[All Fields] AND ""leaves""[All Fields]) OR ""plant leaves""[All Fields] OR ""leaves""[All Fields])']"	['apium leave', 'apium leaved', 'apium leaves', 'apium leaving', 'apium plant leaves', 'celery leave', 'celery leaved', 'celery leaves', 'celery leaving', 'celery plant leaves']
celery stalks	"['(""apium""[MeSH Terms] OR ""apium""[All Fields] OR ""celery""[All Fields]) AND (""stalking""[MeSH Terms] OR ""stalking""[All Fields] OR ""stalk""[All Fields] OR ""stalks""[All Fields])', '(""apium""[MeSH Terms] OR ""apium""[All Fields] OR ""celery""[All Fields]) AND (""stalking""[MeSH Terms] OR ""stalking""[All Fields] OR ""stalks""[All Fields])']"	['apium stalk', 'apium stalking', 'apium stalks', 'celery stalk', 'celery stalking', 'celery stalks']
ceratonia siliqua	"['(""fabaceae""[MeSH Terms] OR ""fabaceae""[All Fields] OR ""ceratonia""[All Fields]) AND (""siliqua""[All Fields] OR ""siliquae""[All Fields])', '(""fabaceae""[MeSH Terms] OR ""fabaceae""[All Fields] OR ""ceratonia""[All Fields]) AND siliqua[All Fields]']"	['ceratonia siliqua', 'ceratonia siliquae', 'fabaceae siliqua', 'fabaceae siliquae']
cervidae	"['""deer""[MeSH Terms] OR ""deer""[All Fields] OR ""cervidae""[All Fields]', '""deer""[MeSH Terms] OR ""deer""[All Fields] OR ""cervidae""[All Fields]']"	['cervidae', 'deer']
cervus canadensis	"['""cervus""[All Fields] AND ""canadensis""[All Fields]', 'cervus[All Fields] AND canadensis[All Fields]']"	['cervus canadensis']
ceylon cinnamon	"['""cinnamomum zeylanicum""[MeSH Terms] OR (""cinnamomum""[All Fields] AND ""zeylanicum""[All Fields]) OR ""cinnamomum zeylanicum""[All Fields] OR (""ceylon""[All Fields] AND ""cinnamon""[All Fields]) OR ""ceylon cinnamon""[All Fields]', '""cinnamomum zeylanicum""[MeSH Terms] OR (""cinnamomum""[All Fields] AND ""zeylanicum""[All Fields]) OR ""cinnamomum zeylanicum""[All Fields] OR (""ceylon""[All Fields] AND ""cinnamon""[All Fields]) OR ""ceylon cinnamon""[All Fields]']"	['ceylon cinnamon', 'cinnamomum zeylanicum']
chamaemelum nobile	"['""chamaemelum""[MeSH Terms] OR ""chamaemelum""[All Fields] OR (""chamaemelum""[All Fields] AND ""nobile""[All Fields]) OR ""chamaemelum nobile""[All Fields]', '""chamaemelum""[MeSH Terms] OR ""chamaemelum""[All Fields] OR (""chamaemelum""[All Fields] AND ""nobile""[All Fields]) OR ""chamaemelum nobile""[All Fields]']"	['chamaemelum', 'chamaemelum nobile']
chamerion angustifolium	"['""chamerion""[All Fields] AND ""angustifolium""[All Fields]', 'chamerion[All Fields] AND angustifolium[All Fields]']"	['chamerion angustifolium']
